2018-01-19 10:05:55,450 | DEBUG | main             | ListenerHookImpl                 | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | added listeners [org.osgi.util.tracker.ServiceTracker$Tracked@31198ceb(objectClass=org.osgi.service.log.LogService)]
2018-01-19 10:05:55,450 | DEBUG | main             | ListenerHookImpl                 | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Filter (objectClass=org.osgi.service.log.LogService)
2018-01-19 10:05:55,450 | DEBUG | main             | ListenerHookImpl                 | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Skipping import request for excluded class [org.osgi.service.log.LogService]
2018-01-19 10:05:55,451 | DEBUG | main             | RSFindHook                       | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Skipping import request for excluded class [org.osgi.service.log.LogService]
2018-01-19 10:05:55,452 | DEBUG | main             | RSFindHook                       | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Skipping import request for excluded class [org.osgi.service.cm.ConfigurationAdmin]
2018-01-19 10:05:55,453 | DEBUG | main             | RSFindHook                       | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Skipping import request for excluded class [org.osgi.service.cm.ConfigurationAdmin]
2018-01-19 10:05:55,454 | DEBUG | main             | ListenerHookImpl                 | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | added listeners [org.apache.felix.scr.impl.BundleComponentActivator$ListenerInfo@3d9fc57a(objectClass=org.osgi.service.log.LogService)]
2018-01-19 10:05:55,455 | DEBUG | main             | ListenerHookImpl                 | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Filter (objectClass=org.osgi.service.log.LogService)
2018-01-19 10:05:55,455 | DEBUG | main             | ListenerHookImpl                 | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Skipping import request for excluded class [org.osgi.service.log.LogService]
2018-01-19 10:05:55,455 | DEBUG | main             | RSFindHook                       | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Skipping import request for excluded class [org.osgi.service.log.LogService]
2018-01-19 10:05:55,455 | DEBUG | main             | RSFindHook                       | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Skipping import request for excluded class [org.osgi.service.log.LogService]
2018-01-19 10:05:55,456 | DEBUG | main             | provider                         | 20 - osgi.enroute.logger.simple.provider - 2.1.0.201710191625 | ServiceEvent REGISTERED - {osgi.enroute.logger.api.LoggerAdmin}={traces=false, where=false, osgi.command.function=[match,unmatch,settings,loggers,slf4j,error,trace,warning,info], component.name=osgi.enroute.logger.simple.provider.LoggerAdminImpl, component.id=2, osgi.command.scope=logger, javaUtilLogging=false, level=WARN, service.id=71, service.bundleid=20, service.scope=bundle} - osgi.enroute.logger.simple.provider
2018-01-19 10:05:55,456 | DEBUG | main             | TopologyManagerExport            | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Received REGISTERED ServiceEvent: org.osgi.framework.ServiceEvent[source={osgi.enroute.logger.api.LoggerAdmin}={traces=false, where=false, osgi.command.function=[match,unmatch,settings,loggers,slf4j,error,trace,warning,info], component.name=osgi.enroute.logger.simple.provider.LoggerAdminImpl, component.id=2, osgi.command.scope=logger, javaUtilLogging=false, level=WARN, service.id=71, service.bundleid=20, service.scope=bundle}]
2018-01-19 10:05:55,456 | DEBUG | pool-2-thread-1  | TopologyManagerExport            | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Skipping service {osgi.enroute.logger.api.LoggerAdmin}={traces=false, where=false, osgi.command.function=[match,unmatch,settings,loggers,slf4j,error,trace,warning,info], component.name=osgi.enroute.logger.simple.provider.LoggerAdminImpl, component.id=2, osgi.command.scope=logger, javaUtilLogging=false, level=WARN, service.id=71, service.bundleid=20, service.scope=bundle}
2018-01-19 10:05:55,457 | INFO  | 8826337@5be1d0a4 | osgi                             | 0 - org.eclipse.osgi - 3.10.100.v20150529-1857 | ServiceEvent REGISTERED
2018-01-19 10:05:55,468 | DEBUG | main             | provider                         | 20 - osgi.enroute.logger.simple.provider - 2.1.0.201710191625 | ServiceEvent REGISTERED - {org.slf4j.Logger}={component.name=osgi.enroute.logger.simple.provider.LoggerComponentImpl, component.id=3, service.id=72, service.bundleid=20, service.scope=bundle} - osgi.enroute.logger.simple.provider
2018-01-19 10:05:55,469 | INFO  | 8826337@5be1d0a4 | osgi                             | 0 - org.eclipse.osgi - 3.10.100.v20150529-1857 | ServiceEvent REGISTERED
2018-01-19 10:05:55,470 | DEBUG | main             | ListenerHookImpl                 | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | added listeners [org.osgi.util.tracker.ServiceTracker$Tracked@4d666b41(objectClass=org.osgi.service.log.LogService)]
2018-01-19 10:05:55,470 | DEBUG | main             | ListenerHookImpl                 | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Filter (objectClass=org.osgi.service.log.LogService)
2018-01-19 10:05:55,470 | DEBUG | main             | ListenerHookImpl                 | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Skipping import request for excluded class [org.osgi.service.log.LogService]
2018-01-19 10:05:55,471 | DEBUG | main             | RSFindHook                       | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Skipping import request for excluded class [org.osgi.service.log.LogService]
